,Stock Name,Symbol
0,Icicibank,IBN
1,Cipla,CIPLA.NS
2,Samvardhana,MOTHERSON.BO
3,Americanbeacon,ADNIX
4,Ihcl,INDHOTEL.BO
5,Cassavasciences,SAVA
6,Itc,ITC.NS
7,Mtnl,MTNL.NS
8,Nvidiacorporation,NVDA
9,Techmahindra,TECHM.BO
10,Angelone,ANGELONE.NS
11,Adanipower,ADANIPOWER.NS
12,Adanigreenenergy,ADANIGREEN.NS
13,Indianrailway,IRFC.BO
14,Tcs,TCS.NS
15,Bajajauto,BAJAJ-AUTO.BO
16,Bandhanbanking,0P000125VF.BO
17,Sbi,SBI
18,Eichermotors,EICHERMOT.BO
19,Larsentoubro,LT.NS
20,Adanienterprises,ADANIENT.NS
21,Hindustan,HINDZINC.BO
22,Tatapower,TATAPOWER.NS
23,Torrentpharm,TORNTPHARM.BO
24,Siemens,SIEMENS.BO
25,Maxhealth,MAXHEALTH.NS
26,Hdfcbank,HDFCBANK.NS
27,Ntpc,NTPC.NS
28,Abbott,ABBOTINDIA.BO
29,Jsw,JSWHL.NS
30,Hershealth,HIMS
31,Jpp,JPPOWER.BO
32,Bankofbaroda.,BANKBARODA.NS
33,Coalindia,COALINDIA.NS
34,Rivianautomotive,RIVN
35,Hindalcoindustries,HINDALCO.NS
36,Axisgold,AXISGOLD.NS
37,Tataaia,0P0000NQJX.BO
38,Ambujacements,AMBUJACEM.BO
39,Gamestop,GME
40,Godrej,GODREJCP.BO
41,Kotakmahindrabank,KOTAKBANK.BO
42,Divislaboratories,DIVISLAB.BO
43,Hcl,HCLTECH.NS
44,Dlf,DLF.BO
45,Lifeinsurance,LICI.NS
46,Tatamotors,TATAMOTORS.NS
47,Pidiliteindustries,PIDILITIND.BO
48,Ola,OLAELEC.NS
49,Reliance,RELIANCE.NS
50,Wipro,WIPRO.NS
51,Interglobeaviation,INDIGO.NS
52,Macrotecdevelopers,LODHA.NS
53,Zomato,ZOMATO.NS
54,Indianoil,IOC.BO
55,Gail(India),GQI.F
56,Oilnaturalgas,ONGC.BO
57,Ultratechcement,UCLQF
58,Trent,TRENT.NS
59,Ntpc,NTPCGREEN.BO
60,Microsoft,MSFT
61,Ecorecycling,ECORECO.BO
62,Google,GOOG
63,Mahindra,M&M.NS
64,Cgpower,CGPOWER.NS
65,Tatateleservices,TTML.BO
66,Tvs,TVSMOTOR.NS
67,Shriram,SHRIRAMFIN.NS
68,Ncl,NCLRESE.BO
69,Pricingculture,CLTBWOWOM
70,Britannia,BRITANNIA.BO
71,Tatainvest,TATAINVEST.BO
72,Hindustanuni,HINDUNILVR.NS
73,Grasimindustries,GRASIM.NS
74,Polycab,POLYCAB.NS
75,Marutisuzuki,MARUTI.BO
76,Swiggy,SWIGGY.NS
77,Thefederalbank,FEDERALBNK.NS
78,Bharatelec,BEL.NS
79,Tatasteel,TATASTEEL.NS
80,Punjabbank.,PNB.NS
81,Powerfinancecorporation,PFC.BO
82,Hyundaimotor,HYUNDAI.NS
83,Lockheed,LMT
84,Reliance,RELIANCE
85,Hershealth,HIMS
86,Nvidiacorporation ,NVDA
87,Hdfcbank,HDFCBANK.NS
88,Cassavasciences,SAVA
89,Tataaia ,0P0000NQJX.BO
90,Olaelectricmobility,OLAELEC.NS
91,Jaiprakashpowerventures,JPPOWER.BO
92,Nclresearch ,NCLRESE.BO
93,Mahanagartelephone,MTNL.NS
94,Angelonelimited,ANGELONE.NS
95,Microsoftcorporation,MSFT
96,Alphabetinc,GOOG
97,Swiggylimited,SWIGGY.NS
98,Adanipowerlimited,ADANIPOWER.NS
99,Adanienterpriseslimited,ADANIENT.NS
100,Marutisuzukiindia ,MARUTI.BO
101,Axisbank ,UZC.SG
102,Mahindramahindra,MOM.F
103,Bajajfinserv,BAJAJFINSV.NS
104,Oilnaturalgascorporation,ONGC.NS
105,Titancompany,TITAN.NS
106,Avenuesupermarts,DMART.NS
107,Powergridcorporationindia,POWERGRID.NS
108,Hindustanaeronautics,HAL.NS
109,Adaniportsspecialeconomiczone,ADANIPORTS.NS
110,Wiproltd,WIPRO.NS
111,Jswsteel,JSWSTEEL.NS
112,Tatamotors,TATAMOTORS.BO
113,Asianpaints,ASIANPAINT.NS
114,Nestleindia,NESTLEIND.NS
115,Eternal,ZOMATO.BO
116,Bharatelectronics,BEL.NS
117,Indianoilcorporation,IOC.BO
118,Trentltd,TRENT.NS
119,Hindustanzinc,HINDZINC.BO
120,Varunbeverages,VBL.NS
121,Dlfltd,DLF.BO
122,Vedantaltd,VEDL.NS
123,Divislaboratories,DIVISLAB.NS
124,Jiofinancialservices,JIOFIN.NS
125,Sbilifeinsurancecompany,SBILIFE.NS
126,Eichermotors,EICHERMOT.NS
127,Pidiliteindustries,PIDILITIND.NS
128,Hdfclifeinsurancecompany,HDFCLIFE.NS
129,Hindalcoindustries,HNDNF
